Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
74,Assassin's Creed: Origins,https://www.imdb.com/title/tt7025920/?ref_=adv_li_tt,2017.0,M,8.5,7831.0,"A prequel to the Assassin's Creed Franchise set in Egypt from 48 BC where Bayek, a Medjay, begins the foundation of the Assassin's Brotherhood.",True,True,False,False,False,True,False,False,False
76,God of War III,https://www.imdb.com/title/tt1199781/?ref_=adv_li_tt,2010.0,M,9.1,10355.0,"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.",True,True,False,False,False,True,False,False,False
77,Call of Duty: Black Ops,https://www.imdb.com/title/tt1632479/?ref_=adv_li_tt,2010.0,M,8.3,19173.0,"Former Marine Captain and CIA operative Alex Mason, upon interrogation by an unknown party, recounts his violent experiences with the Bay of Pigs, a radical Soviet conspiracy, and the Vietnam war.",True,False,False,False,False,False,False,False,True
78,Batman: Arkham Origins,https://www.imdb.com/title/tt2842418/?ref_=adv_li_tt,2013.0,T,8.2,13655.0,"Years before the Arkham incidents, the neophyte Dark Knight finds himself the target of an open murder contract courtesy of Black Mask that draws eight of the world's deadliest assassins and a new criminal named The Joker.",True,True,False,True,False,False,False,False,False
79,Mass Effect 3,https://www.imdb.com/title/tt1839558/?ref_=adv_li_tt,2012.0,M,9.1,15572.0,"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.",True,True,False,False,False,False,False,True,False
80,Mass Effect: Legendary Edition,https://www.imdb.com/title/tt14849728/?ref_=adv_li_tt,2021.0,M,9.7,1583.0,A compilation of the first three Mass Effect games.,True,True,False,False,False,False,False,True,False
81,Call of Duty: Modern Warfare 2,https://www.imdb.com/title/tt1450746/?ref_=adv_li_tt,2009.0,M,8.8,23450.0,"A massacre at a Russian airport leads to a war between Russia and the United States. Meanwhile, a Task Force is sent to find the perpetrators and bring the bloodshed to an end.",True,False,False,False,False,False,False,False,True
82,Call of Duty: Vanguard,https://www.imdb.com/title/tt15261812/?ref_=adv_li_tt,2021.0,M,6.0,1157.0,"Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper's precision and blast through advancing forces in North Africa.",True,False,False,False,False,False,False,False,False
84,Destiny 2,https://www.imdb.com/title/tt6721356/?ref_=adv_li_tt,2017.0,T,7.6,3165.0,"Humanity's last safe city has fallen to an overwhelming invasion force, led by Ghaul, the imposing commander of the brutal Red Legion. He has stripped the city's Guardians of their power, and forced the survivors to flee.",True,True,False,False,False,True,False,False,False
85,Minecraft,https://www.imdb.com/title/tt2011970/?ref_=adv_li_tt,2009.0,E10+,8.5,10880.0,"Welcome to the world of Minecraft where you can build, brew potions, enchant your armor and tools and adventure other biomes. Visit the Nether, or even defeat the Ender Dragon in the End.",True,True,False,False,True,False,False,False,False
